"Название","Тип","Размер","Дата изменения","Уровень вложенности","Полный абсолютный путь"
"ccf01ccd743c9709dd1253045fcc975a63dc87","file","0.458984375 Kb","2020-05-14","4","./.git/objects/54/ccf01ccd743c9709dd1253045fcc975a63dc87"
"9c749f858fd0f90f284b95a256e6e813597dde","file","0.3330078125 Kb","2020-03-07","4","./.git/objects/54/9c749f858fd0f90f284b95a256e6e813597dde"
"0a5d5f1ddee0bbbe3bc5dfe4b79fd52aa2868d","file","0.3486328125 Kb","2020-05-14","4","./.git/objects/37/0a5d5f1ddee0bbbe3bc5dfe4b79fd52aa2868d"
"0421a7e30fd8361c93e88de6464d23ad68235d","file","56.2607421875 Kb","2020-04-26","4","./.git/objects/6c/0421a7e30fd8361c93e88de6464d23ad68235d"
"393e0e40e1ad9844f6c5d129f3c95e6dcb6509","file","0.1484375 Kb","2020-03-07","4","./.git/objects/39/393e0e40e1ad9844f6c5d129f3c95e6dcb6509"
"07e0daf99f1a309c2bf566e58cb547a7840d03","file","0.3935546875 Kb","2020-05-25","4","./.git/objects/63/07e0daf99f1a309c2bf566e58cb547a7840d03"
"c8063bb59a0a825b9a258c04dbc59d66c3d277","file","0.1240234375 Kb","2020-03-08","4","./.git/objects/90/c8063bb59a0a825b9a258c04dbc59d66c3d277"
"f49b58915fa0a33f206984c500531f5d644e98","file","0.556640625 Kb","2020-03-10","4","./.git/objects/dd/f49b58915fa0a33f206984c500531f5d644e98"
"7b7b4c5578c4868800ca5ce82aa4f09f8f6295","file","0.1142578125 Kb","2020-05-11","4","./.git/objects/b6/7b7b4c5578c4868800ca5ce82aa4f09f8f6295"
"d89fc2a1a564506391183660159b70ea366734","file","0.1640625 Kb","2020-04-26","4","./.git/objects/d2/d89fc2a1a564506391183660159b70ea366734"
"6e0440dc5fd5e6f7547cb8902b6b9e3e7fd415","file","0.1787109375 Kb","2020-03-10","4","./.git/objects/de/6e0440dc5fd5e6f7547cb8902b6b9e3e7fd415"
